Operations_Institution_Code,Operations_Institution_Name,Operations_Academic_Year,Operations_Degree,Operations_Area_of_Specialization,Operations_Average_Class_Size,Operations_Average_Lab_Size,Last_Updated
75,United Arab Emirates University,202425,DIP,16,100,76,2023-11-14
82,American University in Dubai,202425,MS,54,50,70,2024-11-14
75,United Arab Emirates University,202425,PhD,42,13,13,2023-10-24
84,Dubai Medical College,202526,CRT,13,60,66,2021-12-29
82,American University in Dubai,202526,MBA,11,90,74,2022-08-08
77,Khalifa University,202526,MBA,42,32,92,2024-05-29
78,American University of Sharjah,202425,DIP,04,43,65,2022-10-08
78,American University of Sharjah,202425,CRT,40,84,76,2025-08-29
84,Dubai Medical College,202425,DIP,01,95,89,2023-10-19
76,Zayed University,202526,PhD,09,78,18,2020-10-16
75,United Arab Emirates University,202526,PhD,40,97,72,2024-09-02
78,American University of Sharjah,202425,CRT,11,74,25,2022-12-16
76,Zayed University,202526,DIP,27,39,39,2024-09-21
81,Ajman University,202526,BA,52,7,74,2023-06-07
78,American University of Sharjah,202425,BS,15,29,38,2020-12-18
77,Khalifa University,202526,MA,50,1,50,2025-10-29
76,Zayed University,202425,PhD,13,70,46,2022-02-19
82,American University in Dubai,202526,MBA,54,25,99,2022-12-21
80,Abu Dhabi University,202526,BA,43,39,5,2022-09-01
84,Dubai Medical College,202425,BS,05,57,24,2022-08-08
82,American University in Dubai,202526,MBA,50,93,85,2021-05-24
83,British University in Dubai,202425,MBA,27,29,95,2021-07-29
80,Abu Dhabi University,202425,BA,05,47,33,2025-12-12
78,American University of Sharjah,202526,MBA,04,87,60,2023-03-22
79,University of Sharjah,202425,MA,51,40,30,2022-02-25
75,United Arab Emirates University,202526,MBA,42,16,49,2022-10-19
77,Khalifa University,202526,BS,03,82,99,2024-08-29
79,University of Sharjah,202526,BS,13,1,77,2022-12-08
79,University of Sharjah,202425,BS,03,17,30,2023-12-21
78,American University of Sharjah,202526,MBA,11,34,73,2023-07-07
