PLO_Institution_Code,PLO_Institution_Name,PLO_Program_code,PLO_Program_name,PLO_code,PLO_description,PLO_Period,Last_Updated
84,Dubai Medical College,75.MA.20001,MA in Nursing,XY1234,This is a detailed description of the course focusing on development.,79,2023-03-14
81,Ajman University,75.MA.20001,DIP in Mechanical Engineering,XY1234,This is a detailed description of the program focusing on quality.,44,2024-09-29
75,United Arab Emirates University,75.MA.20001,PhD in Mathematics,XY1234,This is a detailed description of the program focusing on innovation.,58,2025-04-15
80,Abu Dhabi University,75.MA.20001,BA in Economics,XY1234,This is a detailed description of the program focusing on development.,42,2024-02-20
82,American University in Dubai,75.MA.20001,DIP in Law,XY1234,This is a detailed description of the project focusing on development.,14,2021-03-06
76,Zayed University,75.MA.20001,MBA in Biology,XY1234,This is a detailed description of the program focusing on innovation.,84,2023-04-16
79,University of Sharjah,75.MA.20001,MS in Architecture,XY1234,This is a detailed description of the course focusing on development.,42,2022-07-21
82,American University in Dubai,75.MA.20001,DIP in Biology,XY1234,This is a detailed description of the course focusing on excellence.,77,2022-03-27
80,Abu Dhabi University,75.MA.20001,MBA in Education,XY1234,This is a detailed description of the course focusing on innovation.,23,2025-04-23
78,American University of Sharjah,75.MA.20001,MS in Economics,XY1234,This is a detailed description of the course focusing on excellence.,72,2020-10-26
79,University of Sharjah,75.MA.20001,MS in Mechanical Engineering,XY1234,This is a detailed description of the course focusing on excellence.,60,2023-02-27
75,United Arab Emirates University,75.MA.20001,PhD in English Literature,XY1234,This is a detailed description of the course focusing on innovation.,75,2022-12-14
75,United Arab Emirates University,75.MA.20001,MBA in Electrical Engineering,XY1234,This is a detailed description of the research focusing on excellence.,43,2022-11-12
83,British University in Dubai,75.MA.20001,DIP in Electrical Engineering,XY1234,This is a detailed description of the program focusing on quality.,52,2020-10-23
83,British University in Dubai,75.MA.20001,MBA in Mechanical Engineering,XY1234,This is a detailed description of the research focusing on development.,79,2024-04-25
79,University of Sharjah,75.MA.20001,CRT in Marketing,XY1234,This is a detailed description of the project focusing on innovation.,61,2020-05-06
78,American University of Sharjah,75.MA.20001,BA in Education,XY1234,This is a detailed description of the research focusing on quality.,50,2022-04-01
83,British University in Dubai,75.MA.20001,BS in English Literature,XY1234,This is a detailed description of the course focusing on development.,5,2024-12-30
83,British University in Dubai,75.MA.20001,DIP in Finance,XY1234,This is a detailed description of the course focusing on innovation.,77,2020-03-31
75,United Arab Emirates University,75.MA.20001,DIP in Finance,XY1234,This is a detailed description of the project focusing on innovation.,95,2023-05-27
82,American University in Dubai,75.MA.20001,MA in Pharmacy,XY1234,This is a detailed description of the project focusing on quality.,82,2020-05-24
77,Khalifa University,75.MA.20001,BA in Computer Science,XY1234,This is a detailed description of the project focusing on development.,49,2021-12-27
78,American University of Sharjah,75.MA.20001,PhD in History,XY1234,This is a detailed description of the project focusing on development.,34,2025-01-19
76,Zayed University,75.MA.20001,MBA in Biology,XY1234,This is a detailed description of the project focusing on development.,48,2023-03-08
83,British University in Dubai,75.MA.20001,BA in Arabic Studies,XY1234,This is a detailed description of the course focusing on quality.,75,2025-02-21
