App_Institution_CODE,App_Institution_Name,App_Academic_period,App_Degrees,App_Area_of_Specialization,App_Applicants,App_Acceptances,App_Enrolled,Last_Updated
75,United Arab Emirates University,202402,MBA,42,127,12,334,2023-01-04
81,Ajman University,202501,MA,24,335,6,351,2024-05-12
81,Ajman University,202503,BS,15,115,41,410,2021-02-24
80,Abu Dhabi University,202501,MBA,43,464,8,405,2025-02-14
83,British University in Dubai,202501,BA,42,399,59,427,2025-12-17
80,Abu Dhabi University,202401,DIP,45,220,10,388,2020-05-12
81,Ajman University,202403,BS,42,27,66,99,2020-11-01
76,Zayed University,202402,MBA,27,264,48,127,2020-08-27
76,Zayed University,202502,MBA,26,115,77,454,2023-02-24
81,Ajman University,202503,MA,05,472,88,408,2021-01-20
82,American University in Dubai,202502,BA,09,485,71,420,2020-02-03
76,Zayed University,202502,PhD,50,318,27,307,2021-07-26
76,Zayed University,202502,BS,51,415,40,45,2023-12-30
82,American University in Dubai,202502,PhD,27,84,19,135,2020-12-31
76,Zayed University,202503,MBA,16,418,1,481,2025-06-03
80,Abu Dhabi University,202402,MS,15,392,36,74,2023-04-16
75,United Arab Emirates University,202401,CRT,27,164,70,362,2023-02-01
82,American University in Dubai,202401,BS,24,397,67,91,2023-06-05
79,University of Sharjah,202501,BA,04,149,88,449,2021-05-10
77,Khalifa University,202401,DIP,45,295,87,412,2020-10-02
84,Dubai Medical College,202403,BA,43,301,76,292,2023-09-17
78,American University of Sharjah,202503,MS,15,115,15,453,2021-08-19
77,Khalifa University,202502,MBA,27,38,1,425,2025-04-05
79,University of Sharjah,202403,DIP,51,410,10,115,2024-08-04
76,Zayed University,202402,MBA,45,436,66,66,2023-05-22
81,Ajman University,202401,BS,09,355,55,405,2023-12-30
78,American University of Sharjah,202403,PhD,26,415,22,335,2020-05-10
82,American University in Dubai,202502,PhD,50,23,60,241,2025-01-31
77,Khalifa University,202503,MS,51,115,16,33,2025-07-30
83,British University in Dubai,202402,MA,50,286,81,394,2022-05-27
75,United Arab Emirates University,202502,MBA,45,460,68,25,2021-07-24
83,British University in Dubai,202503,MBA,14,203,78,237,2021-06-22
83,British University in Dubai,202503,CRT,50,242,98,191,2021-10-09
75,United Arab Emirates University,202401,DIP,11,313,51,404,2021-05-05
82,American University in Dubai,202403,MA,13,217,77,484,2020-08-14
