Institution_Code,Institution_Name,Project_Title,Project_ID,project_summary,Project_keywords,Principal_Investigator,PI_ORCID,Research_Department,Research_College,Rsearch_Center,Research_Year,Funding_Amount,Funding_Entity,Funding_Source,Partner_Name,Research_Domain,Research_Priority,Research_Type,Research_TRL,Start_Date,End_Date,Project_Status,Joint_Industry_Indicator,Joint_Industry_partner,Joint_Partner_type,Joint_contribution_type,Joint_Partner_funds,Joint_Intellectual,International_Collabo_Indicator,Joint_INTL_partner,Joint_INTLPartner_type,Joint_INTLcontribution_type,Joint_INTLPartner_funds,Joint_INTLIntellectual,Joint_INTLIntellectual_other,Program_codes,Impact_indicator,Impact_Assessment,Last_Updated
77,Khalifa University,Applied English Literature,RP20255055,This is a detailed description of the project focusing on quality.,"Cloud Computing, AI, Cybersecurity",16,2199-4319-7032-3051,Marketing,College of Medicine,No,2025,5482562.77,UAE Research Council,"G, HEI",Salem Al Zaabi,"2.1, 3.5",E0,Online,No,2023-11-08,2026-05-24,Pending,Y,Microsoft,Full-time,Online,79,J,Y,Boeing,Part-time,Online,77,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-05-13
78,American University of Sharjah,Advanced Arabic Studies,RP20259129,This is a detailed description of the project focusing on innovation.,"IoT, Cloud Computing, Blockchain",01,4804-3410-2086-2633,Pharmacy,College of Arts and Humanities,Yes,2025,6054803.68,UAE Research Council,"G, HEI",Hessa Al Mazrouei,"2.1, 3.5",E0,Part-time,Yes,2023-03-08,2025-12-28,In Progress,Y,Microsoft,Part-time,Online,82,J,Y,Boeing,Online,Part-time,96,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-10-31
77,Khalifa University,Principles of Medicine,RP20239855,This is a detailed description of the program focusing on innovation.,"Cloud Computing, Big Data, Machine Learning",11,9121-8507-4504-1543,Pharmacy,College of Education,Yes,2025,4612482.05,UAE Research Council,"G, HEI",Shamma Al Dhaheri,"2.1, 3.5",E0,Online,Yes,2022-04-17,2026-10-21,Completed,Y,Microsoft,Part-time,Full-time,40,J,Y,Boeing,Online,Full-time,11,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-02-05
80,Abu Dhabi University,Principles of Architecture,RP20242546,This is a detailed description of the research focusing on quality.,"Cybersecurity, Data Science, Machine Learning",15,5549-3569-3957-5903,Education,College of Information Technology,No,2024,6480434.96,UAE Research Council,"G, HEI",Noura Al Dhaheri,"2.1, 3.5",E0,Full-time,Yes,2021-10-23,2026-02-23,In Progress,Y,Microsoft,Online,Online,20,J,Y,Boeing,Full-time,Online,44,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2021-10-05
82,American University in Dubai,Applied Economics,RP20241833,This is a detailed description of the research focusing on quality.,"AI, Cloud Computing, Data Science",40,2789-8911-5841-5375,Law,College of Business,No,2024,7989341.33,UAE Research Council,"G, HEI",Sultan Ahmed,"2.1, 3.5",E0,Online,Yes,2023-08-16,2026-09-09,Active,Y,Microsoft,Online,Full-time,35,J,Y,Boeing,Online,Full-time,61,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2024-11-28
80,Abu Dhabi University,Introduction to Mathematics,RP20241103,This is a detailed description of the program focusing on development.,"AI, Cloud Computing, Cybersecurity",01,4732-9186-6216-5855,Arabic Studies,College of Education,No,2025,4468774.83,UAE Research Council,"G, HEI",Sheikha Al Dhaheri,"2.1, 3.5",E0,Part-time,Yes,2020-09-02,2024-07-31,Pending,Y,Microsoft,Online,Full-time,48,J,Y,Boeing,Online,Online,32,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-10-24
78,American University of Sharjah,Advanced Mechanical Engineering,RP20237826,This is a detailed description of the research focusing on excellence.,"Blockchain, Big Data, IoT",15,3032-7044-1879-1844,Economics,College of Education,No,2024,6982912.85,UAE Research Council,"G, HEI",Abdullah Al Falasi,"2.1, 3.5",E0,Part-time,Yes,2021-04-16,2025-10-08,In Progress,Y,Microsoft,Full-time,Full-time,77,J,Y,Boeing,Online,Part-time,15,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-05-08
79,University of Sharjah,Introduction to Law,RP20242660,This is a detailed description of the research focusing on quality.,"Machine Learning, Blockchain, Data Science",16,3530-1012-3810-7902,History,College of Education,Yes,2025,9226956.25,UAE Research Council,"G, HEI",Aisha Al Dhaheri,"2.1, 3.5",E0,Full-time,Yes,2024-06-11,2024-10-26,Completed,Y,Microsoft,Full-time,Full-time,44,J,Y,Boeing,Full-time,Full-time,27,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-04-04
84,Dubai Medical College,Applied Psychology,RP20258415,This is a detailed description of the program focusing on quality.,"Big Data, Cybersecurity, Blockchain",43,5301-7530-3712-9808,Arabic Studies,College of Education,Yes,2025,2407815.69,UAE Research Council,"G, HEI",Latifa Al Dhaheri,"2.1, 3.5",E0,Online,Yes,2020-01-25,2026-06-05,Completed,Y,Microsoft,Full-time,Part-time,25,J,Y,Boeing,Full-time,Full-time,76,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-07-29
79,University of Sharjah,Principles of Mathematics,RP20238955,This is a detailed description of the course focusing on excellence.,"Blockchain, AI, Cloud Computing",52,8307-1011-7844-6742,Arabic Studies,College of Education,No,2024,4497768.63,UAE Research Council,"G, HEI",Sara Al Shamsi,"2.1, 3.5",E0,Online,Yes,2022-03-06,2025-05-14,Pending,Y,Microsoft,Full-time,Online,86,J,Y,Boeing,Online,Part-time,52,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-04-02
