Pub_Inst_Code,Pub_Institution,Pub_Year,Pub_Faculty_Id,Pub_Researcher_Type,Pub_Number_Of_Auth,Pub_Published_Work,Pub_Total_Citations,Pub_Year_Publication,Pub_Publication_Type,Pub_Publication_Area,Pub_Publisher_Name,Pub_Referee_Indicator,Pub_scopus_Indicator,Last_Updated
68,United Arab Emirates University,2025,1929,Part-time,229,Publication Name,245,2024,Part-time,26,Latifa Khan,Yes,Y,2021-09-11
96,United Arab Emirates University,2024,1929,Part-time,47,Publication Name,258,2024,Full-time,14,Fatima Al Mehairbi,No,Y,2024-01-22
61,United Arab Emirates University,2025,1929,Part-time,223,Publication Name,209,2024,Full-time,31,Latifa Singh,No,Y,2020-03-01
84,United Arab Emirates University,2025,1929,Online,277,Publication Name,457,2025,Part-time,54,Hessa Al Zaabi,Yes,Y,2025-01-13
70,United Arab Emirates University,2025,1929,Online,487,Publication Name,262,2024,Online,55,Hassan Al Mehairbi,No,Y,2025-08-31
48,United Arab Emirates University,2024,1929,Full-time,266,Publication Name,267,2025,Online,74,Ali Al Mansoori,No,Y,2024-12-30
49,United Arab Emirates University,2025,1929,Online,375,Publication Name,220,2025,Full-time,81,Latifa Al Junaibi,No,Y,2024-01-29
81,United Arab Emirates University,2024,1929,Part-time,396,Publication Name,19,2024,Full-time,77,Hessa Al Falasi,No,Y,2024-10-27
8,United Arab Emirates University,2024,1929,Full-time,25,Publication Name,320,2024,Full-time,64,Noor Al Kaabi,No,Y,2024-05-19
25,United Arab Emirates University,2025,1929,Full-time,195,Publication Name,335,2024,Full-time,50,Omar Al Falasi,No,Y,2022-11-04
46,United Arab Emirates University,2025,1929,Online,378,Publication Name,348,2025,Full-time,49,Sultan Al Zaabi,No,Y,2021-04-10
76,United Arab Emirates University,2025,1929,Part-time,404,Publication Name,179,2025,Full-time,11,Abdullah Khan,No,Y,2021-09-07
70,United Arab Emirates University,2025,1929,Online,133,Publication Name,251,2025,Online,59,Salem Al Junaibi,No,Y,2020-03-30
3,United Arab Emirates University,2024,1929,Online,225,Publication Name,457,2025,Full-time,55,Shamma Al Kaabi,No,Y,2021-10-31
8,United Arab Emirates University,2024,1929,Full-time,440,Publication Name,162,2024,Full-time,42,Latifa Patel,Yes,Y,2021-11-13
87,United Arab Emirates University,2025,1929,Part-time,168,Publication Name,478,2025,Part-time,38,Majid Al Shamsi,Yes,Y,2021-05-03
66,United Arab Emirates University,2024,1929,Full-time,458,Publication Name,414,2025,Full-time,79,Sheikha Al Zaabi,No,Y,2022-06-29
35,United Arab Emirates University,2024,1929,Part-time,10,Publication Name,107,2024,Full-time,73,Mohammed Al Zaabi,Yes,Y,2024-02-04
22,United Arab Emirates University,2024,1929,Full-time,250,Publication Name,146,2025,Online,73,Noura Ahmed,No,Y,2021-07-12
4,United Arab Emirates University,2025,1929,Full-time,13,Publication Name,203,2025,Part-time,12,Mohammed Al Mazrouei,No,Y,2022-02-10
91,United Arab Emirates University,2025,1929,Part-time,271,Publication Name,450,2025,Part-time,56,Sara Al Kaabi,No,Y,2022-03-24
53,United Arab Emirates University,2025,1929,Full-time,15,Publication Name,10,2025,Online,96,Sheikha Al Junaibi,Yes,Y,2021-05-13
61,United Arab Emirates University,2025,1929,Online,96,Publication Name,216,2025,Full-time,54,Fatima Al Mazrouei,Yes,Y,2021-12-13
18,United Arab Emirates University,2024,1929,Online,67,Publication Name,365,2024,Full-time,63,Shamma Al Kaabi,Yes,Y,2025-04-25
31,United Arab Emirates University,2024,1929,Part-time,446,Publication Name,124,2024,Part-time,88,Hassan Al Dhaheri,Yes,Y,2025-02-05
1,United Arab Emirates University,2024,1929,Full-time,146,Publication Name,195,2025,Online,79,Rashid Ahmed,Yes,Y,2022-06-22
34,United Arab Emirates University,2025,1929,Full-time,142,Publication Name,447,2025,Part-time,54,Aisha Al Shamsi,Yes,Y,2023-05-29
76,United Arab Emirates University,2024,1929,Part-time,431,Publication Name,433,2025,Full-time,93,Ali Al Mehairbi,No,Y,2022-07-14
12,United Arab Emirates University,2025,1929,Online,290,Publication Name,27,2024,Part-time,94,Hassan Ahmed,No,Y,2025-06-16
8,United Arab Emirates University,2025,1929,Online,136,Publication Name,115,2024,Online,68,Noor Al Kaabi,Yes,Y,2020-05-17
77,United Arab Emirates University,2024,1929,Online,298,Publication Name,313,2024,Full-time,72,Fatima Al Kaabi,Yes,Y,2025-02-09
