IP_Institution_Code,IP_Institution_Name,IP_Year,IP_Status,IP_Title,IP_Application_Number,IP_Approval_Date,IP_Number,IP_Registering_Office,IP_Designation_Country,IP_Inventor_IDs,IP_Inventor_ORCID_IDs,IP_Applicants_Owners
83,British University in Dubai,2024,Completed,Applied Marketing,2021/980/961,2022-01-28,14/980,True,127,True,8495-5080-2000-3322,387
80,Abu Dhabi University,2025,Completed,Introduction to Economics,2021/980/961,2024-04-21,14/980,True,238,True,1879-8214-6290-3527,274
77,Khalifa University,2024,Active,Principles of Psychology,2021/980/961,2024-05-16,14/980,True,328,True,1627-1236-1425-5464,468
77,Khalifa University,2024,In Progress,Applied Nursing,2021/980/961,2025-08-10,14/980,True,452,True,6432-2380-5047-1477,59
75,United Arab Emirates University,2025,Active,Advanced Education,2021/980/961,2023-12-05,14/980,True,467,True,6808-4209-3919-6297,91
82,American University in Dubai,2024,In Progress,Introduction to Civil Engineering,2021/980/961,2021-06-29,14/980,True,422,True,5540-5960-7754-5119,169
75,United Arab Emirates University,2024,Completed,Advanced Accounting,2021/980/961,2025-08-20,14/980,True,471,True,7058-9665-4182-9749,167
84,Dubai Medical College,2024,Pending,Introduction to Mathematics,2021/980/961,2020-10-24,14/980,True,176,True,7991-2091-8685-7579,200
84,Dubai Medical College,2024,Active,Principles of Accounting,2021/980/961,2025-10-11,14/980,True,74,True,7352-9436-7025-9586,336
79,University of Sharjah,2024,In Progress,Principles of Architecture,2021/980/961,2025-09-17,14/980,True,221,True,5979-7555-8878-1169,312
81,Ajman University,2025,In Progress,Principles of Medicine,2021/980/961,2024-06-08,14/980,True,78,True,5669-5046-8993-5750,270
75,United Arab Emirates University,2024,Inactive,Principles of Electrical Engineering,2021/980/961,2024-01-27,14/980,True,133,True,1239-3034-5782-6999,32
82,American University in Dubai,2024,Active,Introduction to Psychology,2021/980/961,2020-06-05,14/980,True,292,True,5978-2207-6797-5474,245
75,United Arab Emirates University,2024,In Progress,Applied Psychology,2021/980/961,2020-01-18,14/980,True,124,True,5760-7874-5718-2486,260
79,University of Sharjah,2025,Active,Introduction to Business Administration,2021/980/961,2025-08-15,14/980,True,81,True,5359-4369-6108-1341,14
82,American University in Dubai,2025,Pending,Principles of Mechanical Engineering,2021/980/961,2022-08-22,14/980,True,381,True,9835-5301-2770-6273,28
77,Khalifa University,2024,Pending,Introduction to History,2021/980/961,2023-06-12,14/980,True,495,True,4988-5326-5226-8830,337
80,Abu Dhabi University,2024,Completed,Applied Electrical Engineering,2021/980/961,2020-11-06,14/980,True,449,True,4790-7027-2133-8632,14
83,British University in Dubai,2024,Completed,Advanced English Literature,2021/980/961,2025-02-19,14/980,True,146,True,8085-2819-5795-6644,261
81,Ajman University,2024,Active,Applied Mathematics,2021/980/961,2022-09-04,14/980,True,444,True,9192-4409-6645-9865,468
75,United Arab Emirates University,2025,In Progress,Advanced Pharmacy,2021/980/961,2024-03-22,14/980,True,235,True,6091-6298-4120-7881,259
82,American University in Dubai,2025,In Progress,Advanced Economics,2021/980/961,2024-12-18,14/980,True,451,True,6219-3698-8901-8717,306
82,American University in Dubai,2025,Pending,Advanced Economics,2021/980/961,2024-09-16,14/980,True,151,True,6093-9832-7337-9315,369
77,Khalifa University,2025,Completed,Applied Marketing,2021/980/961,2022-08-02,14/980,True,388,True,5233-5160-6845-9407,218
79,University of Sharjah,2025,Pending,Applied Sociology,2021/980/961,2023-03-22,14/980,True,433,True,5282-7345-8709-1363,27
76,Zayed University,2024,Inactive,Applied Medicine,2021/980/961,2023-10-19,14/980,True,163,True,3611-9688-1838-9893,185
83,British University in Dubai,2024,In Progress,Applied Islamic Studies,2021/980/961,2021-03-24,14/980,True,116,True,5166-8365-6593-7537,485
82,American University in Dubai,2024,Completed,Applied Medicine,2021/980/961,2021-12-02,14/980,True,17,True,9932-4512-4299-5175,453
