obf_Institution_Code,obf_Institution_Name,obf_Academic_Year,OBF1.1.D,OBF1.1.N,OBF1.1.R,OBF1.1M,OBF1.2.D,OBF1.2.N,OBF1.2.R,OBF1.2M,OBF2.1.D,OBF2.1.N,OBF2.1.R,OBF2.1M,OBF2.2.D,OBF2.2.N,OBF2.2.R,OBF2.2M,OBF2.3.D,OBF2.3.N,OBF2.3.R,OBF2.3M,OBF2.4.D,OBF2.4.N,OBF2.4.R,OBF2.4M,OBF2.5.D,OBF2.5.N,OBF2.5.R,OBF2.5M,OBF2.6.D,OBF2.6.N,OBF2.6.N,OBF2.6M,OBF3.1.D,OBF3.1.N,OBF3.1.R,OBF3.1M,OBF3.2.D,OBF3.2.N,OBF3.2.R,OBF3.2M,OBF3.3.D,OBF3.3.N,OBF3.3.R,OBF3.3M,OBF3.4.D,OBF3.4.N,OBF3.4.R,OBF3.4M,OBF4.1.D,OBF4.1.N,OBF4.1.R,OBF4.1M,OBF4.2.D,OBF4.2.N,OBF4.2.R,OBF4.2M,OBF4.3.D,OBF4.3.N,OBF4.3.R,OBF4.3M,OBF4.4.D,OBF4.4.N,OBF4.4.R,OBF4.4M,OBF4.5.D,OBF4.5.N,OBF4.5.R,OBF4.5M,OBF4.6.D,OBF4.6.N,OBF4.6.R,OBF4.6M,OBF5.1.D,OBF5.1.N,OBF5.1.R,OBF5.1M,OBF5.2.D,OBF5.2.N,OBF5.2.R,OBF5.2M,OBF5.4.D,OBF5.4.N,OBF5.4.R,OBF5.4M,OBF6.1.D,OBF6.1.N,OBF6.1.R,OBF6.1M,OBF6.2.D,OBF6.2.N,OBF6.2.R,OBF6.2M,Last_Updated
78,American University of Sharjah,202425,24,94,83,Regular,27,33,44,Primary,30,79,15,Regular,96,31,53,Primary,89,3,42,Standard,29,99,43,Regular,75,42,29,Normal,68,66,66,Default,33,78,100,Regular,23,43,98,Standard,56,74,59,Primary,89,57,38,Primary,81,58,50,Primary,60,58,30,Normal,73,2,73,Regular,48,58,54,Standard,26,100,41,Normal,97,34,56,Standard,33,41,50,Default,79,63,96,Regular,93,61,11,Normal,35,98,71,Standard,4,68,84,Standard,2021-03-21
75,United Arab Emirates University,202425,25,65,96,Normal,81,21,87,Primary,2,23,47,Default,98,95,14,Normal,94,65,92,Normal,53,2,23,Regular,73,94,82,Standard,56,1,1,Regular,52,92,48,Default,4,36,19,Standard,13,13,5,Regular,79,74,73,Primary,3,62,53,Primary,79,37,46,Primary,10,14,90,Normal,44,46,17,Normal,55,52,50,Standard,98,6,64,Normal,34,18,9,Primary,52,39,67,Regular,72,41,84,Default,65,63,29,Standard,78,26,61,Primary,2023-09-22
78,American University of Sharjah,202526,32,93,50,Regular,87,31,13,Primary,41,74,50,Default,39,97,42,Default,91,27,67,Primary,68,89,46,Standard,78,68,94,Standard,50,19,19,Primary,5,53,74,Primary,43,92,69,Standard,69,89,42,Primary,17,57,27,Default,100,92,1,Normal,80,2,42,Default,43,60,24,Standard,63,67,82,Regular,72,11,3,Default,16,17,2,Normal,41,42,85,Regular,92,55,47,Normal,29,50,48,Primary,83,54,89,Normal,52,29,59,Primary,2025-05-13
83,British University in Dubai,202425,93,4,55,Normal,46,16,1,Normal,86,100,65,Default,9,83,21,Standard,99,92,94,Regular,92,2,68,Normal,97,49,59,Default,37,98,98,Primary,47,9,94,Default,80,6,49,Default,55,25,74,Normal,34,94,12,Standard,86,100,42,Standard,72,47,27,Default,56,43,50,Default,54,58,1,Regular,91,31,27,Normal,92,24,48,Standard,90,19,46,Default,6,87,33,Standard,92,34,88,Primary,89,75,87,Normal,26,13,54,Regular,2024-09-20
80,Abu Dhabi University,202425,71,78,83,Normal,17,45,73,Standard,73,20,45,Standard,84,70,62,Default,5,78,74,Primary,31,13,15,Normal,10,52,42,Standard,34,42,42,Standard,11,44,17,Regular,55,5,60,Normal,77,97,68,Default,32,49,5,Default,21,17,68,Standard,92,13,57,Normal,78,11,80,Regular,31,96,78,Regular,1,74,8,Primary,61,58,73,Regular,73,47,98,Standard,28,52,42,Default,51,48,11,Standard,60,29,35,Default,97,32,46,Default,2021-10-09
77,Khalifa University,202425,28,31,52,Standard,23,8,91,Regular,31,6,11,Normal,12,75,98,Normal,89,22,90,Default,15,75,7,Default,72,87,62,Standard,8,61,61,Standard,19,82,26,Default,88,43,72,Default,59,98,19,Standard,21,51,11,Primary,10,31,93,Normal,26,1,72,Default,63,64,65,Normal,9,11,36,Regular,64,45,61,Normal,11,89,69,Default,71,86,33,Standard,79,38,36,Default,75,15,97,Standard,71,15,44,Standard,14,29,40,Default,2023-01-27
76,Zayed University,202425,99,53,8,Primary,43,74,58,Regular,4,91,19,Normal,14,38,31,Standard,14,53,29,Primary,99,3,99,Standard,34,72,83,Normal,22,19,19,Normal,11,24,34,Regular,6,66,12,Regular,17,44,35,Standard,61,87,63,Standard,72,33,23,Regular,22,22,97,Default,65,27,63,Primary,29,89,4,Standard,27,11,28,Primary,34,87,21,Primary,96,89,54,Regular,85,20,23,Default,53,58,70,Standard,60,28,44,Regular,67,43,30,Normal,2025-05-12
83,British University in Dubai,202526,62,4,34,Default,97,72,46,Standard,80,22,59,Standard,81,31,36,Standard,42,46,51,Regular,32,74,30,Primary,14,7,100,Normal,6,69,69,Default,28,78,18,Regular,46,21,73,Standard,56,27,49,Normal,99,19,58,Standard,52,94,72,Standard,58,17,14,Default,20,2,13,Normal,45,72,75,Normal,32,70,12,Normal,94,57,69,Normal,42,46,22,Default,67,68,77,Primary,29,49,27,Standard,26,87,49,Primary,99,24,62,Standard,2020-09-10
76,Zayed University,202425,72,38,36,Regular,18,24,74,Regular,5,16,6,Normal,96,38,89,Standard,25,1,11,Standard,12,80,95,Primary,41,3,66,Normal,54,65,65,Regular,66,28,87,Normal,24,42,94,Default,88,12,51,Standard,86,26,59,Regular,8,84,37,Normal,17,92,28,Normal,63,94,26,Normal,73,78,85,Default,73,60,39,Normal,68,35,29,Primary,90,31,100,Regular,96,17,33,Standard,47,43,68,Default,19,45,72,Standard,94,61,11,Default,2021-05-25
82,American University in Dubai,202526,51,48,24,Standard,89,23,34,Regular,65,48,50,Standard,87,2,72,Normal,59,45,29,Default,6,83,49,Normal,22,74,46,Primary,77,94,94,Primary,94,59,52,Standard,83,60,9,Regular,64,16,63,Normal,65,69,58,Standard,79,19,6,Regular,39,38,94,Primary,73,22,55,Standard,43,62,71,Normal,53,25,5,Normal,73,38,75,Regular,28,22,7,Default,42,14,56,Primary,41,19,48,Regular,88,47,29,Default,40,34,23,Default,2023-08-06
